"Time","docker cpu usage","powertop measure","smart plug measure","timestamp"
2022-02-22 10:01:45,0,2.36,10.6,1645520505
2022-02-22 10:01:50,0,2.36,11.7,1645520509
2022-02-22 10:01:55,0,2.15,11.7,1645520515
2022-02-22 10:02:00,0,2.15,11.7,1645520519
2022-02-22 10:02:05,0,2.15,11.0,1645520525
2022-02-22 10:02:10,0,2.53,11.0,1645520529
2022-02-22 10:02:15,0,2.53,11.0,1645520535
2022-02-22 10:02:20,0,2.53,11.0,1645520539
2022-02-22 10:02:25,198,2.67,17.7,1645520545
2022-02-22 10:02:30,198,2.67,17.7,1645520549
2022-02-22 10:02:35,199,23.9,17.7,1645520555
2022-02-22 10:02:40,200,23.9,36.8,1645520559
2022-02-22 10:02:45,200,23.9,36.8,1645520565
2022-02-22 10:02:50,200,24,36.8,1645520569
2022-02-22 10:02:55,201,24,34.7,1645520575
2022-02-22 10:03:00,200,24,34.7,1645520579
2022-02-22 10:03:05,201,23.8,34.7,1645520585
2022-02-22 10:03:10,200,23.8,36.8,1645520589
2022-02-22 10:03:15,200,25.5,36.8,1645520595
2022-02-22 10:03:20,197,25.5,36.8,1645520599
2022-02-22 10:03:25,200,25.5,36.5,1645520605
2022-02-22 10:03:30,200,25.1,36.5,1645520609
2022-02-22 10:03:35,200,25.1,37.1,1645520615
2022-02-22 10:03:40,200,25.1,37.1,1645520619
2022-02-22 10:03:45,200,23.1,37.5,1645520625
2022-02-22 10:03:50,200,23.1,37.5,1645520629
2022-02-22 10:03:55,200,23.8,37.5,1645520635
2022-02-22 10:04:00,200,23.8,36.0,1645520639
2022-02-22 10:04:05,201,23.8,36.0,1645520645
2022-02-22 10:04:10,200,23.6,36.0,1645520649
2022-02-22 10:04:15,200,23.6,35.3,1645520655
2022-02-22 10:04:20,200,23.6,35.3,1645520659
2022-02-22 10:04:25,200,23.2,35.3,1645520665
2022-02-22 10:04:30,200,23.2,41.6,1645520669
2022-02-22 10:04:35,200,26.9,41.6,1645520675
2022-02-22 10:04:40,201,26.9,41.6,1645520679
2022-02-22 10:04:45,201,26.9,42.6,1645520685
2022-02-22 10:04:50,204,29.9,42.6,1645520689
2022-02-22 10:04:55,204,29.9,42.6,1645520695
2022-02-22 10:05:00,200,29.9,42.6,1645520699
2022-02-22 10:05:05,200,30,43.8,1645520705
2022-02-22 10:05:10,200,30,43.8,1645520709
2022-02-22 10:05:15,200,28.3,43.8,1645520715
2022-02-22 10:05:20,200,28.3,38.8,1645520719
2022-02-22 10:05:25,199,28.3,38.8,1645520725
2022-02-22 10:05:30,201,29.1,38.8,1645520729
2022-02-22 10:05:35,201,29.1,38.4,1645520735
2022-02-22 10:05:40,200,29.1,38.4,1645520739
2022-02-22 10:05:45,200,27.7,38.4,1645520745
2022-02-22 10:05:50,200,27.7,44.0,1645520749
2022-02-22 10:05:55,200,31.2,44.0,1645520755
2022-02-22 10:06:00,200,31.2,44.0,1645520759
2022-02-22 10:06:05,199,31.2,45.7,1645520765
2022-02-22 10:06:10,200,32.4,45.7,1645520769
2022-02-22 10:06:15,200,32.4,45.7,1645520775
2022-02-22 10:06:20,200,32.4,45.7,1645520779
2022-02-22 10:06:25,201,31.7,45.9,1645520785
2022-02-22 10:06:30,201,31.7,45.9,1645520789
2022-02-22 10:06:35,155,32.2,45.9,1645520795
2022-02-22 10:06:40,155,32.2,29.7,1645520799
2022-02-22 10:06:45,100,32.2,29.7,1645520805
2022-02-22 10:06:50,100,17.2,29.7,1645520809
2022-02-22 10:06:55,1.73,17.2,32.4,1645520815
2022-02-22 10:07:00,1.73,17.2,32.4,1645520819
2022-02-22 10:07:05,99.6,15.2,32.4,1645520825
2022-02-22 10:07:10,99.9,15.2,31.9,1645520829
2022-02-22 10:07:15,99.8,19,31.9,1645520835
2022-02-22 10:07:20,99.8,19,31.9,1645520839
2022-02-22 10:07:25,200,19,34.4,1645520845
2022-02-22 10:07:30,200,22.8,34.4,1645520849
2022-02-22 10:07:35,200,22.8,34.4,1645520855
2022-02-22 10:07:40,200,22.8,34.4,1645520859
2022-02-22 10:07:45,201,23.2,36.0,1645520865
2022-02-22 10:07:50,201,23.2,36.0,1645520869
2022-02-22 10:07:55,200,23.5,36.0,1645520875
2022-02-22 10:08:00,200,23.5,38.1,1645520879
2022-02-22 10:08:05,197,23.5,38.1,1645520885
2022-02-22 10:08:10,199,32.4,38.1,1645520889
2022-02-22 10:08:15,198,32.4,54.0,1645520895
2022-02-22 10:08:20,198,32.4,54.0,1645520899
2022-02-22 10:08:25,192,41.4,54.0,1645520905
2022-02-22 10:08:30,200,41.4,48.1,1645520909
2022-02-22 10:08:35,201,35.6,48.1,1645520915
2022-02-22 10:08:40,201,35.6,48.1,1645520919
2022-02-22 10:08:45,199,35.6,11.7,1645520925
2022-02-22 10:08:50,0,25.7,11.7,1645520929
2022-02-22 10:08:55,0,25.7,11.7,1645520935
2022-02-22 10:09:00,0,25.7,11.7,1645520939
2022-02-22 10:09:05,0,2.41,13.4,1645520945
2022-02-22 10:09:10,0,2.41,13.4,1645520949
2022-02-22 10:09:15,0,2.47,13.4,1645520955
2022-02-22 10:09:20,0,2.47,11.8,1645520959
2022-02-22 10:09:25,0,2.47,11.8,1645520965
2022-02-22 10:09:30,0,2.41,11.8,1645520969
2022-02-22 10:09:35,0,2.41,11.9,1645520975
2022-02-22 10:09:40,0,2.41,11.9,1645520979
2022-02-22 10:09:45,0,2.42,11.9,1645520985
2022-02-22 10:09:50,0,2.42,11.2,1645520989
2022-02-22 10:09:55,0,2.07,11.2,1645520995
2022-02-22 10:10:00,0,2.07,11.2,1645520999
2022-02-22 10:10:05,0,2.07,11.2,1645521005
2022-02-22 10:10:10,0,2.48,11.2,1645521009
2022-02-22 10:10:15,0,2.48,11.2,1645521015
2022-02-22 10:10:20,301,2.48,11.2,1645521019
2022-02-22 10:10:25,301,26.5,42.8,1645521025
2022-02-22 10:10:30,301,26.5,42.8,1645521029
2022-02-22 10:10:35,302,31.5,42.8,1645521035
2022-02-22 10:10:40,298,31.5,44.2,1645521039
2022-02-22 10:10:45,288,31.5,44.2,1645521045
2022-02-22 10:10:50,288,32.1,44.2,1645521049
2022-02-22 10:10:55,296,32.1,42.6,1645521055
2022-02-22 10:11:00,300,32.1,42.6,1645521059
2022-02-22 10:11:05,300,32,42.6,1645521065
2022-02-22 10:11:10,300,32,44.2,1645521069
2022-02-22 10:11:15,300,31.6,44.2,1645521075
2022-02-22 10:11:20,294,31.6,44.2,1645521079
2022-02-22 10:11:25,300,31.6,45.4,1645521085
2022-02-22 10:11:30,300,33,45.4,1645521089
2022-02-22 10:11:35,302,33,45.4,1645521095
2022-02-22 10:11:40,301,33,45.4,1645521099
2022-02-22 10:11:45,300,30.7,32.7,1645521105
2022-02-22 10:11:50,300,30.7,32.7,1645521109
2022-02-22 10:11:55,298,20.2,32.7,1645521115
2022-02-22 10:12:00,300,20.2,33.8,1645521119
2022-02-22 10:12:05,300,20.2,33.8,1645521125
2022-02-22 10:12:10,300,23.2,33.8,1645521129
2022-02-22 10:12:15,301,23.2,35.3,1645521135
2022-02-22 10:12:20,300,23.2,35.3,1645521139
2022-02-22 10:12:25,301,23.2,35.3,1645521145
2022-02-22 10:12:30,301,23.2,56.4,1645521149
2022-02-22 10:12:35,298,42.2,56.4,1645521155
2022-02-22 10:12:40,300,42.2,56.4,1645521159
2022-02-22 10:12:45,300,42.2,56.7,1645521165
2022-02-22 10:12:50,300,41.3,56.7,1645521169
2022-02-22 10:12:55,302,41.3,56.7,1645521175
2022-02-22 10:13:00,300,41.3,56.7,1645521179
2022-02-22 10:13:05,301,42.7,56.7,1645521185
2022-02-22 10:13:10,301,42.7,56.7,1645521189
2022-02-22 10:13:15,299,37.9,56.7,1645521195
2022-02-22 10:13:20,297,37.9,56.6,1645521199
2022-02-22 10:13:25,295,37.9,56.6,1645521205
2022-02-22 10:13:30,295,40,56.6,1645521209
2022-02-22 10:13:35,295,40,52.2,1645521215
2022-02-22 10:13:40,301,40,52.2,1645521219
2022-02-22 10:13:45,300,41.3,52.2,1645521225
2022-02-22 10:13:50,300,41.3,57.4,1645521229
2022-02-22 10:13:55,299,43.1,57.4,1645521235
2022-02-22 10:14:00,301,43.1,57.4,1645521239
2022-02-22 10:14:05,298,43.1,57.9,1645521245
2022-02-22 10:14:10,298,42.8,57.9,1645521249
2022-02-22 10:14:15,301,42.8,57.9,1645521255
2022-02-22 10:14:20,300,42.8,57.9,1645521259
2022-02-22 10:14:25,300,44.2,57.6,1645521265
2022-02-22 10:14:30,300,44.2,57.6,1645521269
2022-02-22 10:14:35,99.9,24,57.6,1645521275
2022-02-22 10:14:40,99.8,24,32.3,1645521279
2022-02-22 10:14:45,100,24,32.3,1645521285
2022-02-22 10:14:50,100,18.1,32.3,1645521289
2022-02-22 10:14:55,100,18.1,28.5,1645521295
2022-02-22 10:15:00,100,18.1,28.5,1645521299
2022-02-22 10:15:05,99.9,17.3,27.5,1645521305
2022-02-22 10:15:10,99.9,17.3,11.4,1645521309
2022-02-22 10:15:15,283,20.1,11.4,1645521315
2022-02-22 10:15:20,302,20.1,11.4,1645521319
2022-02-22 10:15:25,300,20.1,39.6,1645521325
2022-02-22 10:15:30,300,25.8,39.6,1645521329
2022-02-22 10:15:35,300,25.8,39.6,1645521335
2022-02-22 10:15:40,301,25.8,39.6,1645521339
2022-02-22 10:15:45,300,26.1,42.4,1645521345
2022-02-22 10:15:50,300,26.1,42.4,1645521349
2022-02-22 10:15:55,301,26.1,42.4,1645521355
2022-02-22 10:16:00,300,32.7,66.1,1645521359
2022-02-22 10:16:05,300,32.7,66.1,1645521365
2022-02-22 10:16:10,300,52,66.1,1645521369
2022-02-22 10:16:15,300,52,72.9,1645521375
2022-02-22 10:16:20,289,52,72.9,1645521379
2022-02-22 10:16:25,298,46.4,72.9,1645521385
2022-02-22 10:16:30,298,46.4,69.6,1645521389
2022-02-22 10:16:35,290,46.4,69.6,1645521395
2022-02-22 10:16:40,0,55.4,69.6,1645521399
2022-02-22 10:16:45,0,55.4,11.5,1645521405
2022-02-22 10:16:50,0,2.52,11.5,1645521409
2022-02-22 10:16:55,0,2.52,11.5,1645521415
2022-02-22 10:17:00,0,2.52,11.5,1645521419
2022-02-22 10:17:05,0,2.49,11.3,1645521425
2022-02-22 10:17:10,0,2.49,11.3,1645521429
2022-02-22 10:17:15,0,2.49,11.3,1645521435
2022-02-22 10:17:20,0,2.12,15.0,1645521439
2022-02-22 10:17:25,0,2.12,15.0,1645521445
2022-02-22 10:17:30,0,2.12,15.0,1645521449
2022-02-22 10:17:35,0,2.46,15.5,1645521455
2022-02-22 10:17:40,0,2.46,15.5,1645521459
2022-02-22 10:17:45,0,2.45,15.5,1645521465
2022-02-22 10:17:50,0,2.45,11.4,1645521469
2022-02-22 10:17:55,0,2.45,11.4,1645521475
2022-02-22 10:18:00,0,2.43,11.4,1645521479
2022-02-22 10:18:05,0,2.43,11.3,1645521485
2022-02-22 10:18:10,0,2.43,11.3,1645521489
2022-02-22 10:18:15,390,16.2,11.3,1645521495
2022-02-22 10:18:20,390,16.2,11.3,1645521499
2022-02-22 10:18:25,384,37.9,48.9,1645521505
2022-02-22 10:18:30,391,37.9,48.9,1645521509
2022-02-22 10:18:35,380,37.9,48.9,1645521515
2022-02-22 10:18:40,380,38.5,50.0,1645521519
2022-02-22 10:18:45,387,38.5,50.0,1645521525
2022-02-22 10:18:50,384,38.5,50.0,1645521529
2022-02-22 10:18:55,393,38.8,52.4,1645521535
2022-02-22 10:19:00,393,38.8,52.4,1645521539
2022-02-22 10:19:05,392,40.8,52.4,1645521545
2022-02-22 10:19:10,398,40.8,52.9,1645521549
2022-02-22 10:19:15,392,40.8,52.9,1645521555
2022-02-22 10:19:20,392,40.7,52.5,1645521559
2022-02-22 10:19:25,397,40.7,52.7,1645521565
2022-02-22 10:19:30,390,40.7,52.7,1645521569
2022-02-22 10:19:35,400,40.8,52.7,1645521575
2022-02-22 10:19:40,400,40.8,52.7,1645521579
2022-02-22 10:19:45,400,40.8,36.2,1645521585
2022-02-22 10:19:50,402,22.5,36.2,1645521589
2022-02-22 10:19:55,380,22.5,36.2,1645521595
