"Time","smart plug measure","timestamp"
2022-02-24 13:24:05,2.96,1645705444
2022-02-24 13:24:10,2.96,1645705448
2022-02-24 13:24:15,3.03,1645705454
2022-02-24 13:24:20,3.03,1645705458
2022-02-24 13:24:25,2.96,1645705464
2022-02-24 13:24:30,2.96,1645705468
2022-02-24 13:24:35,2.96,1645705474
2022-02-24 13:24:40,2.96,1645705478
2022-02-24 13:24:45,2.92,1645705484
2022-02-24 13:24:50,2.92,1645705488
2022-02-24 13:24:55,2.92,1645705494
2022-02-24 13:25:00,2.96,1645705498
2022-02-24 13:25:05,2.96,1645705504
2022-02-24 13:25:10,2.96,1645705508
2022-02-24 13:25:15,3.08,1645705514
2022-02-24 13:25:20,3.08,1645705518
2022-02-24 13:25:25,3.08,1645705524
2022-02-24 13:25:30,3.18,1645705528
2022-02-24 13:25:35,3.18,1645705534
2022-02-24 13:25:40,3.18,1645705538
2022-02-24 13:25:45,2.94,1645705544
2022-02-24 13:25:50,2.94,1645705548
2022-02-24 13:25:55,2.94,1645705554
2022-02-24 13:26:00,2.94,1645705558
2022-02-24 13:26:05,3.22,1645705564
2022-02-24 13:26:10,3.22,1645705568
2022-02-24 13:26:15,3.22,1645705574
2022-02-24 13:26:20,3.23,1645705578
2022-02-24 13:26:25,3.23,1645705584
2022-02-24 13:26:30,3.23,1645705588
2022-02-24 13:26:35,3.01,1645705594
2022-02-24 13:26:40,3.01,1645705598
2022-02-24 13:26:45,3.01,1645705604
2022-02-24 13:26:50,2.94,1645705608
2022-02-24 13:26:55,2.94,1645705614
2022-02-24 13:27:00,2.94,1645705618
2022-02-24 13:27:05,2.90,1645705624
2022-02-24 13:27:10,2.90,1645705628
2022-02-24 13:27:15,2.90,1645705634
2022-02-24 13:27:20,2.90,1645705638
2022-02-24 13:27:25,3.44,1645705644
2022-02-24 13:27:30,3.44,1645705648
2022-02-24 13:27:35,3.44,1645705654
2022-02-24 13:27:40,3.44,1645705658
2022-02-24 13:27:45,3.44,1645705664
2022-02-24 13:27:50,3.44,1645705668
2022-02-24 13:27:55,3.44,1645705674
2022-02-24 13:28:00,3.44,1645705678
2022-02-24 13:28:05,3.44,1645705684
2022-02-24 13:28:10,3.65,1645705688
2022-02-24 13:28:15,3.65,1645705694
2022-02-24 13:28:20,3.65,1645705698
2022-02-24 13:28:25,3.46,1645705704
2022-02-24 13:28:30,3.46,1645705708
2022-02-24 13:28:35,3.46,1645705714
2022-02-24 13:28:40,3.46,1645705718
2022-02-24 13:28:45,3.44,1645705724
2022-02-24 13:28:50,3.44,1645705728
2022-02-24 13:28:55,3.44,1645705734
2022-02-24 13:29:00,3.44,1645705738
2022-02-24 13:29:05,3.44,1645705744
2022-02-24 13:29:10,3.44,1645705748
2022-02-24 13:29:15,3.70,1645705754
2022-02-24 13:29:20,3.70,1645705758
2022-02-24 13:29:25,3.70,1645705764
2022-02-24 13:29:30,3.60,1645705768
2022-02-24 13:29:35,3.60,1645705774
2022-02-24 13:29:40,3.60,1645705778
2022-02-24 13:29:45,3.60,1645705784
2022-02-24 13:29:50,3.60,1645705788
2022-02-24 13:29:55,3.60,1645705794
2022-02-24 13:30:00,3.60,1645705798
2022-02-24 13:30:05,3.65,1645705804
2022-02-24 13:30:10,3.65,1645705808
2022-02-24 13:30:15,3.65,1645705814
2022-02-24 13:30:20,3.62,1645705818
2022-02-24 13:30:25,3.62,1645705824
2022-02-24 13:30:30,3.62,1645705828
2022-02-24 13:30:35,3.93,1645705834
2022-02-24 13:30:40,3.93,1645705838
2022-02-24 13:30:45,3.93,1645705844
2022-02-24 13:30:50,3.62,1645705848
2022-02-24 13:30:55,3.62,1645705854
2022-02-24 13:31:00,3.62,1645705858
2022-02-24 13:31:05,3.58,1645705864
2022-02-24 13:31:10,3.58,1645705868
2022-02-24 13:31:15,3.58,1645705874
2022-02-24 13:31:20,3.58,1645705878
2022-02-24 13:31:25,3.56,1645705884
2022-02-24 13:31:30,3.56,1645705888
2022-02-24 13:31:35,3.56,1645705894
2022-02-24 13:31:40,3.60,1645705898
2022-02-24 13:31:45,3.60,1645705904
2022-02-24 13:31:50,3.60,1645705908
2022-02-24 13:31:55,3.55,1645705914
2022-02-24 13:32:00,3.55,1645705918
2022-02-24 13:32:05,3.55,1645705924
2022-02-24 13:32:10,3.88,1645705928
2022-02-24 13:32:15,3.88,1645705934
2022-02-24 13:32:20,3.88,1645705938
2022-02-24 13:32:25,3.63,1645705944
2022-02-24 13:32:30,3.63,1645705948
2022-02-24 13:32:35,3.63,1645705954
2022-02-24 13:32:40,3.63,1645705958
2022-02-24 13:32:45,4.02,1645705964
2022-02-24 13:32:50,4.02,1645705968
2022-02-24 13:32:55,4.02,1645705974
2022-02-24 13:33:00,3.63,1645705978
2022-02-24 13:33:05,3.63,1645705984
2022-02-24 13:33:10,3.63,1645705988
2022-02-24 13:33:15,4.03,1645705994
2022-02-24 13:33:20,4.03,1645705998
2022-02-24 13:33:25,4.03,1645706004
2022-02-24 13:33:30,3.72,1645706008
2022-02-24 13:33:35,3.72,1645706014
2022-02-24 13:33:40,3.72,1645706018
2022-02-24 13:33:45,2.82,1645706024
2022-02-24 13:33:50,2.82,1645706028
2022-02-24 13:33:55,2.82,1645706034
2022-02-24 13:34:00,2.82,1645706038
2022-02-24 13:34:05,2.89,1645706044
2022-02-24 13:34:10,2.89,1645706048
2022-02-24 13:34:15,2.89,1645706054
2022-02-24 13:34:20,2.85,1645706058
2022-02-24 13:34:25,2.85,1645706064
2022-02-24 13:34:30,2.85,1645706068
2022-02-24 13:34:35,2.82,1645706074
2022-02-24 13:34:40,2.82,1645706078
2022-02-24 13:34:45,2.82,1645706084
2022-02-24 13:34:50,2.80,1645706088
2022-02-24 13:34:55,2.80,1645706094
2022-02-24 13:35:00,2.80,1645706098
2022-02-24 13:35:05,2.85,1645706104
2022-02-24 13:35:10,2.85,1645706108
2022-02-24 13:35:15,2.85,1645706114
2022-02-24 13:35:20,2.85,1645706118
2022-02-24 13:35:25,4.00,1645706124
2022-02-24 13:35:30,4.00,1645706128
2022-02-24 13:35:35,4.00,1645706134
2022-02-24 13:35:40,4.03,1645706138
