date,infrastructure0-OPTIMIZED,infrastructure0-ENHANCED,infrastructure1-OPTIMIZED,infrastructure1-ENHANCED,infrastructure2-OPTIMIZED,infrastructure2-ENHANCED,infrastructure3-OPTIMIZED,infrastructure3-ENHANCED,infrastructure4-OPTIMIZED,infrastructure4-ENHANCED,infrastructure5-OPTIMIZED,infrastructure5-ENHANCED,infrastructure6-OPTIMIZED,infrastructure6-ENHANCED,infrastructure7-OPTIMIZED,infrastructure7-ENHANCED,infrastructure8-OPTIMIZED,infrastructure8-ENHANCED,infrastructure9-OPTIMIZED,infrastructure9-ENHANCED,infrastructure10-OPTIMIZED,infrastructure10-ENHANCED,infrastructure11-OPTIMIZED,infrastructure11-ENHANCED,infrastructure12-OPTIMIZED,infrastructure12-ENHANCED,infrastructure13-OPTIMIZED,infrastructure13-ENHANCED,infrastructure14-OPTIMIZED,infrastructure14-ENHANCED,infrastructure15-OPTIMIZED,infrastructure15-ENHANCED,infrastructure16-OPTIMIZED,infrastructure16-ENHANCED,infrastructure17-OPTIMIZED,infrastructure17-ENHANCED,infrastructure18-OPTIMIZED,infrastructure18-ENHANCED,infrastructure19-OPTIMIZED,infrastructure19-ENHANCED
2021-12-14 15:00:00 +0000 UTC,1457.143,498.271,1514.376,555.504,1734.789,775.917,1817.717,1098.563,1919.231,1200.077,2063.757,1344.603,2090.914,1371.760,2187.782,1708.346,2297.864,1818.428,2433.057,1953.621,2451.120,1971.684,2558.582,2318.864,2661.767,2422.049,2785.918,2546.200,2810.370,2570.652,3051.736,3051.736,3053.179,3053.179,3179.265,3179.265,3160.630,3160.630,3304.375,3304.375
2021-12-14 15:01:00 +0000 UTC,1457.143,498.271,1514.376,555.504,1734.789,775.917,1817.717,1098.563,1919.231,1200.077,2063.757,1344.603,2090.914,1371.760,2187.782,1708.346,2297.864,1818.428,2433.057,1953.621,2451.120,1971.684,2558.582,2318.864,2661.767,2422.049,2785.918,2546.200,2810.370,2570.652,3051.736,3051.736,3053.179,3053.179,3179.265,3179.265,3160.630,3160.630,3304.375,3304.375
2021-12-14 15:02:00 +0000 UTC,1457.143,498.271,1514.376,555.504,1734.789,775.917,1817.717,1098.563,1919.231,1200.077,2063.757,1344.603,2090.914,1371.760,2187.782,1708.346,2297.864,1818.428,2433.057,1953.621,2451.120,1971.684,2558.582,2318.864,2661.767,2422.049,2785.918,2546.200,2810.370,2570.652,3051.736,3051.736,3053.179,3053.179,3179.265,3179.265,3160.630,3160.630,3304.375,3304.375
2021-12-14 15:03:00 +0000 UTC,1457.143,498.271,1514.376,555.504,1734.789,775.917,1817.717,1098.563,1919.231,1200.077,2063.757,1344.603,2090.914,1371.760,2187.782,1708.346,2297.864,1818.428,2433.057,1953.621,2451.120,1971.684,2558.582,2318.864,2661.767,2422.049,2785.918,2546.200,2810.370,2570.652,3051.736,3051.736,3053.179,3053.179,3179.265,3179.265,3160.630,3160.630,3304.375,3304.375
2021-12-14 15:04:00 +0000 UTC,1457.143,498.271,1514.376,555.504,1734.789,775.917,1817.717,1098.563,1919.231,1200.077,2063.757,1344.603,2090.914,1371.760,2187.782,1708.346,2297.864,1818.428,2433.057,1953.621,2451.120,1971.684,2558.582,2318.864,2661.767,2422.049,2785.918,2546.200,2810.370,2570.652,3051.736,3051.736,3053.179,3053.179,3179.265,3179.265,3160.630,3160.630,3304.375,3304.375
2021-12-14 15:05:00 +0000 UTC,1457.143,498.271,1514.376,555.504,1734.789,775.917,1817.717,1098.563,1919.231,1200.077,2063.757,1344.603,2090.914,1371.760,2187.782,1708.346,2297.864,1818.428,2433.057,1953.621,2451.120,1971.684,2558.582,2318.864,2661.767,2422.049,2785.918,2546.200,2810.370,2570.652,3051.736,3051.736,3053.179,3053.179,3179.265,3179.265,3160.630,3160.630,3304.375,3304.375
2021-12-14 15:06:00 +0000 UTC,1457.143,498.271,1514.376,555.504,1734.789,775.917,1817.717,1098.563,1919.231,1200.077,2063.757,1344.603,2090.914,1371.760,2187.782,1708.346,2297.864,1818.428,2433.057,1953.621,2451.120,1971.684,2558.582,2318.864,2661.767,2422.049,2785.918,2546.200,2810.370,2570.652,3051.736,3051.736,3053.179,3053.179,3179.265,3179.265,3160.630,3160.630,3304.375,3304.375
2021-12-14 15:07:00 +0000 UTC,1457.143,498.271,1514.376,555.504,1734.789,775.917,1817.717,1098.563,1919.231,1200.077,2063.757,1344.603,2090.914,1371.760,2187.782,1708.346,2297.864,1818.428,2433.057,1953.621,2451.120,1971.684,2558.582,2318.864,2661.767,2422.049,2785.918,2546.200,2810.370,2570.652,3051.736,3051.736,3053.179,3053.179,3179.265,3179.265,3160.630,3160.630,3304.375,3304.375
2021-12-14 15:08:00 +0000 UTC,1457.143,498.271,1514.376,555.504,1734.789,775.917,1817.717,1098.563,1919.231,1200.077,2063.757,1344.603,2090.914,1371.760,2187.782,1708.346,2297.864,1818.428,2433.057,1953.621,2451.120,1971.684,2558.582,2318.864,2661.767,2422.049,2785.918,2546.200,2810.370,2570.652,3051.736,3051.736,3053.179,3053.179,3179.265,3179.265,3160.630,3160.630,3304.375,3304.375
2021-12-14 15:09:00 +0000 UTC,1457.143,498.271,1514.376,555.504,1734.789,775.917,1817.717,1098.563,1919.231,1200.077,2063.757,1344.603,2090.914,1371.760,2187.782,1708.346,2297.864,1818.428,2433.057,1953.621,2451.120,1971.684,2558.582,2318.864,2661.767,2422.049,2785.918,2546.200,2810.370,2570.652,3051.736,3051.736,3053.179,3053.179,3179.265,3179.265,3160.630,3160.630,3304.375,3304.375
