,Time,smart plug measure,timestamp
116,2022-09-05 20:14:25,28.9,1662401665
117,2022-09-05 20:14:30,28.9,1662401670
118,2022-09-05 20:14:35,28.8,1662401675
119,2022-09-05 20:14:40,28.8,1662401680
120,2022-09-05 20:14:45,28.8,1662401685
121,2022-09-05 20:14:50,28.8,1662401690
122,2022-09-05 20:14:55,35.2,1662401695
123,2022-09-05 20:15:00,35.2,1662401700
124,2022-09-05 20:15:05,35.1,1662401705
125,2022-09-05 20:15:10,35.1,1662401710
126,2022-09-05 20:15:15,35.2,1662401715
127,2022-09-05 20:15:20,35.2,1662401720
128,2022-09-05 20:15:25,35.2,1662401725
129,2022-09-05 20:15:30,35.2,1662401730
130,2022-09-05 20:15:35,35.7,1662401735
131,2022-09-05 20:15:40,35.7,1662401740
132,2022-09-05 20:15:45,35.7,1662401745
133,2022-09-05 20:15:50,35.7,1662401750
134,2022-09-05 20:15:55,35.8,1662401755
135,2022-09-05 20:16:00,35.8,1662401760
136,2022-09-05 20:16:05,35.8,1662401765
137,2022-09-05 20:16:10,35.8,1662401770
138,2022-09-05 20:16:15,30.6,1662401775
139,2022-09-05 20:16:20,30.6,1662401780
140,2022-09-05 20:16:25,30.6,1662401785
141,2022-09-05 20:16:30,30.6,1662401790
142,2022-09-05 20:16:35,30.5,1662401795
143,2022-09-05 20:16:40,30.5,1662401800
144,2022-09-05 20:16:45,30.5,1662401805
145,2022-09-05 20:16:50,30.5,1662401810
146,2022-09-05 20:16:55,30.7,1662401815
147,2022-09-05 20:17:00,30.7,1662401820
148,2022-09-05 20:17:05,30.7,1662401825
149,2022-09-05 20:17:10,30.7,1662401830
150,2022-09-05 20:17:15,35.8,1662401835
151,2022-09-05 20:17:20,35.8,1662401840
152,2022-09-05 20:17:25,35.8,1662401845
153,2022-09-05 20:17:30,35.8,1662401850
154,2022-09-05 20:17:35,35.5,1662401855
155,2022-09-05 20:17:40,35.5,1662401860
156,2022-09-05 20:17:45,35.5,1662401865
157,2022-09-05 20:17:50,35.5,1662401870
158,2022-09-05 20:17:55,27.1,1662401875
159,2022-09-05 20:18:00,27.1,1662401880
160,2022-09-05 20:18:05,27.1,1662401885
161,2022-09-05 20:18:10,27.1,1662401890
162,2022-09-05 20:18:15,28.9,1662401895
163,2022-09-05 20:18:20,28.9,1662401900
164,2022-09-05 20:18:25,28.9,1662401905
165,2022-09-05 20:18:30,28.9,1662401910
166,2022-09-05 20:18:35,37.5,1662401915
167,2022-09-05 20:18:40,37.5,1662401920
168,2022-09-05 20:18:45,37.5,1662401925
169,2022-09-05 20:18:50,37.5,1662401930
