date,infrastructure0-OPTIMIZED,infrastructure0-ENHANCED,infrastructure1-OPTIMIZED,infrastructure1-ENHANCED,infrastructure2-OPTIMIZED,infrastructure2-ENHANCED,infrastructure3-OPTIMIZED,infrastructure3-ENHANCED,infrastructure4-OPTIMIZED,infrastructure4-ENHANCED,infrastructure5-OPTIMIZED,infrastructure5-ENHANCED,infrastructure6-OPTIMIZED,infrastructure6-ENHANCED,infrastructure7-OPTIMIZED,infrastructure7-ENHANCED,infrastructure8-OPTIMIZED,infrastructure8-ENHANCED,infrastructure9-OPTIMIZED,infrastructure9-ENHANCED,infrastructure10-OPTIMIZED,infrastructure10-ENHANCED,infrastructure11-OPTIMIZED,infrastructure11-ENHANCED,infrastructure12-OPTIMIZED,infrastructure12-ENHANCED,infrastructure13-OPTIMIZED,infrastructure13-ENHANCED,infrastructure14-OPTIMIZED,infrastructure14-ENHANCED
2021-12-14 15:00:00 +0000 UTC,689.874,309.276,680.208,299.610,688.633,308.035,729.153,348.555,742.218,361.620,860.040,521.020,908.030,541.950,951.123,570.525,969.138,778.839,972.061,781.762,987.561,797.262,1261.343,1261.343,1274.735,1274.735,1286.567,1286.567,1336.004,1336.004
2021-12-14 15:01:00 +0000 UTC,689.874,309.276,680.208,299.610,688.633,308.035,729.153,348.555,742.218,361.620,860.040,521.020,908.030,541.950,951.123,570.525,969.138,778.839,972.061,781.762,987.561,797.262,1261.343,1261.343,1274.735,1274.735,1286.567,1286.567,1336.004,1336.004
2021-12-14 15:02:00 +0000 UTC,689.874,309.276,680.208,299.610,688.633,308.035,729.153,348.555,742.218,361.620,860.040,521.020,908.030,541.950,951.123,570.525,969.138,778.839,972.061,781.762,987.561,797.262,1261.343,1261.343,1274.735,1274.735,1286.567,1286.567,1336.004,1336.004
2021-12-14 15:03:00 +0000 UTC,689.874,309.276,680.208,299.610,688.633,308.035,729.153,348.555,742.218,361.620,860.040,521.020,908.030,541.950,951.123,570.525,969.138,778.839,972.061,781.762,987.561,797.262,1261.343,1261.343,1274.735,1274.735,1286.567,1286.567,1336.004,1336.004
2021-12-14 15:04:00 +0000 UTC,689.874,309.276,680.208,299.610,688.633,308.035,729.153,348.555,742.218,361.620,860.040,521.020,908.030,541.950,951.123,570.525,969.138,778.839,972.061,781.762,987.561,797.262,1261.343,1261.343,1274.735,1274.735,1286.567,1286.567,1336.004,1336.004
2021-12-14 15:05:00 +0000 UTC,689.874,309.276,680.208,299.610,688.633,308.035,729.153,348.555,742.218,361.620,860.040,521.020,908.030,541.950,951.123,570.525,969.138,778.839,972.061,781.762,987.561,797.262,1261.343,1261.343,1274.735,1274.735,1286.567,1286.567,1336.004,1336.004
2021-12-14 15:06:00 +0000 UTC,689.874,309.276,680.208,299.610,688.633,308.035,729.153,348.555,742.218,361.620,860.040,521.020,908.030,541.950,951.123,570.525,969.138,778.839,972.061,781.762,987.561,797.262,1261.343,1261.343,1274.735,1274.735,1286.567,1286.567,1336.004,1336.004
2021-12-14 15:07:00 +0000 UTC,689.874,309.276,680.208,299.610,688.633,308.035,729.153,348.555,742.218,361.620,860.040,521.020,908.030,541.950,951.123,570.525,969.138,778.839,972.061,781.762,987.561,797.262,1261.343,1261.343,1274.735,1274.735,1286.567,1286.567,1336.004,1336.004
2021-12-14 15:08:00 +0000 UTC,689.874,309.276,680.208,299.610,688.633,308.035,729.153,348.555,742.218,361.620,860.040,521.020,908.030,541.950,951.123,570.525,969.138,778.839,972.061,781.762,987.561,797.262,1261.343,1261.343,1274.735,1274.735,1286.567,1286.567,1336.004,1336.004
2021-12-14 15:09:00 +0000 UTC,689.874,309.276,680.208,299.610,688.633,308.035,729.153,348.555,742.218,361.620,860.040,521.020,908.030,541.950,951.123,570.525,969.138,778.839,972.061,781.762,987.561,797.262,1261.343,1261.343,1274.735,1274.735,1286.567,1286.567,1336.004,1336.004
