,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi


OPTIMIZED,3.287,9.622,34.329,27.086,3.287,9.622,56.643,27.086,3.287,9.622,82.389,27.086,3.287,27.664,73.807,27.086,3.287,33.678,90.972,27.086,15.611,39.692,56.643,27.086,17.666,45.706,65.225,27.086,3.287,99.832,73.807,27.086,40.261,9.622,82.389,27.086,44.369,9.622,90.972,27.086,48.477,9.622,99.554,27.086,62.446,49.314,13.732,27.086,83.398,9.622,13.732,27.086,89.560,9.622,13.732,27.086,89.560,26.461,13.732,27.086
ENHANCED,0.000,9.622,34.329,27.086,0.000,9.622,56.643,27.086,0.000,9.622,82.389,27.086,0.000,27.664,73.807,27.086,0.000,33.678,90.972,27.086,0.000,75.776,56.643,27.086,0.000,87.804,65.225,27.086,0.000,99.832,73.807,27.086,38.618,9.622,82.389,27.086,42.726,9.622,90.972,27.086,46.834,9.622,99.554,27.086,62.446,49.314,13.732,27.086,83.398,9.622,13.732,27.086,89.560,9.622,13.732,27.086,89.560,26.461,13.732,27.086
