BASIC,,,,,,,,,,,,,,,
ORIGINAL,,,,,,,,,,,,,,,
OPTIMIZED,689.874,680.208,688.633,729.153,742.218,860.040,908.030,951.123,969.138,972.061,987.561,1261.343,1274.735,1286.567,1336.004
ENHANCED,309.276,299.610,308.035,348.555,361.620,521.020,541.950,570.525,778.839,781.762,797.262,1261.343,1274.735,1286.567,1336.004
