date,infrastructure0-OPTIMIZED,infrastructure0-ENHANCED,infrastructure1-OPTIMIZED,infrastructure1-ENHANCED,infrastructure2-OPTIMIZED,infrastructure2-ENHANCED,infrastructure3-OPTIMIZED,infrastructure3-ENHANCED,infrastructure4-OPTIMIZED,infrastructure4-ENHANCED,infrastructure5-OPTIMIZED,infrastructure5-ENHANCED,infrastructure6-OPTIMIZED,infrastructure6-ENHANCED,infrastructure7-OPTIMIZED,infrastructure7-ENHANCED,infrastructure8-OPTIMIZED,infrastructure8-ENHANCED,infrastructure9-OPTIMIZED,infrastructure9-ENHANCED,infrastructure10-OPTIMIZED,infrastructure10-ENHANCED,infrastructure11-OPTIMIZED,infrastructure11-ENHANCED,infrastructure12-OPTIMIZED,infrastructure12-ENHANCED,infrastructure13-OPTIMIZED,infrastructure13-ENHANCED,infrastructure14-OPTIMIZED,infrastructure14-ENHANCED,infrastructure15-OPTIMIZED,infrastructure15-ENHANCED,infrastructure16-OPTIMIZED,infrastructure16-ENHANCED,infrastructure17-OPTIMIZED,infrastructure17-ENHANCED,infrastructure18-OPTIMIZED,infrastructure18-ENHANCED,infrastructure19-OPTIMIZED,infrastructure19-ENHANCED
2021-12-14 15:00:00 +0000 UTC,1689.026,555.814,1749.403,616.191,2024.328,891.116,2122.334,1272.425,2242.305,1392.396,2413.109,1563.200,2445.203,1595.294,2559.685,1993.079,2689.781,2123.175,2849.554,2282.948,2870.901,2304.295,2997.903,2714.600,3119.848,2836.545,3266.571,2983.268,3295.471,3012.168,3580.723,3580.723,3582.425,3582.425,3731.440,3731.440,3709.415,3709.415,3862.275,3862.275
2021-12-14 15:01:00 +0000 UTC,1689.026,555.814,1749.403,616.191,2024.328,891.116,2122.334,1272.425,2242.305,1392.396,2413.109,1563.200,2445.203,1595.294,2559.685,1993.079,2689.781,2123.175,2849.554,2282.948,2870.901,2304.295,2997.903,2714.600,3119.848,2836.545,3266.571,2983.268,3295.471,3012.168,3580.723,3580.723,3582.425,3582.425,3731.440,3731.440,3709.415,3709.415,3862.275,3862.275
2021-12-14 15:02:00 +0000 UTC,1689.026,555.814,1749.403,616.191,2024.328,891.116,2122.334,1272.425,2242.305,1392.396,2413.109,1563.200,2445.203,1595.294,2559.685,1993.079,2689.781,2123.175,2849.554,2282.948,2870.901,2304.295,2997.903,2714.600,3119.848,2836.545,3266.571,2983.268,3295.471,3012.168,3580.723,3580.723,3582.425,3582.425,3731.440,3731.440,3709.415,3709.415,3862.275,3862.275
2021-12-14 15:03:00 +0000 UTC,1689.026,555.814,1749.403,616.191,2024.328,891.116,2122.334,1272.425,2242.305,1392.396,2413.109,1563.200,2445.203,1595.294,2559.685,1993.079,2689.781,2123.175,2849.554,2282.948,2870.901,2304.295,2997.903,2714.600,3119.848,2836.545,3266.571,2983.268,3295.471,3012.168,3580.723,3580.723,3582.425,3582.425,3731.440,3731.440,3709.415,3709.415,3862.275,3862.275
2021-12-14 15:04:00 +0000 UTC,1689.026,555.814,1749.403,616.191,2024.328,891.116,2122.334,1272.425,2242.305,1392.396,2413.109,1563.200,2445.203,1595.294,2559.685,1993.079,2689.781,2123.175,2849.554,2282.948,2870.901,2304.295,2997.903,2714.600,3119.848,2836.545,3266.571,2983.268,3295.471,3012.168,3580.723,3580.723,3582.425,3582.425,3731.440,3731.440,3709.415,3709.415,3862.275,3862.275
2021-12-14 15:05:00 +0000 UTC,1689.026,555.814,1749.403,616.191,2024.328,891.116,2122.334,1272.425,2242.305,1392.396,2413.109,1563.200,2445.203,1595.294,2559.685,1993.079,2689.781,2123.175,2849.554,2282.948,2870.901,2304.295,2997.903,2714.600,3119.848,2836.545,3266.571,2983.268,3295.471,3012.168,3580.723,3580.723,3582.425,3582.425,3731.440,3731.440,3709.415,3709.415,3862.275,3862.275
2021-12-14 15:06:00 +0000 UTC,1689.026,555.814,1749.403,616.191,2024.328,891.116,2122.334,1272.425,2242.305,1392.396,2413.109,1563.200,2445.203,1595.294,2559.685,1993.079,2689.781,2123.175,2849.554,2282.948,2870.901,2304.295,2997.903,2714.600,3119.848,2836.545,3266.571,2983.268,3295.471,3012.168,3580.723,3580.723,3582.425,3582.425,3731.440,3731.440,3709.415,3709.415,3862.275,3862.275
2021-12-14 15:07:00 +0000 UTC,1689.026,555.814,1749.403,616.191,2024.328,891.116,2122.334,1272.425,2242.305,1392.396,2413.109,1563.200,2445.203,1595.294,2559.685,1993.079,2689.781,2123.175,2849.554,2282.948,2870.901,2304.295,2997.903,2714.600,3119.848,2836.545,3266.571,2983.268,3295.471,3012.168,3580.723,3580.723,3582.425,3582.425,3731.440,3731.440,3709.415,3709.415,3862.275,3862.275
2021-12-14 15:08:00 +0000 UTC,1689.026,555.814,1749.403,616.191,2024.328,891.116,2122.334,1272.425,2242.305,1392.396,2413.109,1563.200,2445.203,1595.294,2559.685,1993.079,2689.781,2123.175,2849.554,2282.948,2870.901,2304.295,2997.903,2714.600,3119.848,2836.545,3266.571,2983.268,3295.471,3012.168,3580.723,3580.723,3582.425,3582.425,3731.440,3731.440,3709.415,3709.415,3862.275,3862.275
2021-12-14 15:09:00 +0000 UTC,1689.026,555.814,1749.403,616.191,2024.328,891.116,2122.334,1272.425,2242.305,1392.396,2413.109,1563.200,2445.203,1595.294,2559.685,1993.079,2689.781,2123.175,2849.554,2282.948,2870.901,2304.295,2997.903,2714.600,3119.848,2836.545,3266.571,2983.268,3295.471,3012.168,3580.723,3580.723,3582.425,3582.425,3731.440,3731.440,3709.415,3709.415,3862.275,3862.275
