,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi


OPTIMIZED,3.287,9.622,34.329,27.086,3.287,9.622,56.643,27.086,3.287,9.622,82.389,27.086,3.287,19.245,90.972,27.086,3.287,33.678,90.972,27.086,3.287,58.937,82.389,27.086,13.352,39.692,95.263,27.086,3.287,99.832,73.807,27.086,42.110,9.622,76.382,27.086,44.369,9.622,90.972,27.086,50.737,9.622,91.830,27.086,50.121,51.720,65.225,27.086,64.705,25.259,69.516,27.086,49.299,80.587,73.807,27.086,49.505,93.818,78.098,27.086
ENHANCED,0.000,9.622,34.329,27.086,0.000,9.622,56.643,27.086,0.000,9.622,82.389,27.086,0.000,19.245,90.972,27.086,0.000,33.678,90.972,27.086,0.000,58.937,82.389,27.086,0.000,67.958,95.263,27.086,0.000,99.832,73.807,27.086,40.466,9.622,76.382,27.086,42.726,9.622,90.972,27.086,49.094,9.622,91.830,27.086,48.477,51.720,65.225,27.086,49.710,61.944,69.516,27.086,47.656,80.587,73.807,27.086,47.861,93.818,78.098,27.086
