"Time","smart plug measure","timestamp"
2022-09-16 15:03:10,6.26,1663333389.16
2022-09-16 15:03:15,6.41,1663333394.16
2022-09-16 15:03:20,6.41,1663333399.16
2022-09-16 15:03:25,6.41,1663333404.16
2022-09-16 15:03:30,6.41,1663333409.16
2022-09-16 15:03:35,37.67,1663333414.16
2022-09-16 15:03:40,37.67,1663333419.16
2022-09-16 15:03:45,37.67,1663333424.16
2022-09-16 15:03:50,37.67,1663333429.16
2022-09-16 15:03:55,31.38,1663333434.16
2022-09-16 15:04:00,31.38,1663333439.16
2022-09-16 15:04:05,31.38,1663333444.16
2022-09-16 15:04:10,31.38,1663333449.16
2022-09-16 15:04:15,30.49,1663333454.16
2022-09-16 15:04:20,30.87,1663333459.16
2022-09-16 15:04:25,30.87,1663333464.16
2022-09-16 15:04:30,30.87,1663333469.16
2022-09-16 15:04:35,25.29,1663333474.16
2022-09-16 15:04:40,25.29,1663333479.16
2022-09-16 15:04:45,25.19,1663333484.16
2022-09-16 15:04:50,25.19,1663333489.16
2022-09-16 15:04:55,30.02,1663333494.16
2022-09-16 15:05:00,30.02,1663333499.16
2022-09-16 15:05:05,30.02,1663333504.16
2022-09-16 15:05:10,30.02,1663333509.16
2022-09-16 15:05:15,22.92,1663333514.16
2022-09-16 15:05:20,22.92,1663333519.16
2022-09-16 15:05:25,22.92,1663333524.16
2022-09-16 15:05:30,22.92,1663333529.16
2022-09-16 15:05:35,22.07,1663333534.16
2022-09-16 15:05:40,22.07,1663333539.16
2022-09-16 15:05:45,22.07,1663333544.16
2022-09-16 15:05:50,22.07,1663333549.16
2022-09-16 15:05:55,27.62,1663333554.16
2022-09-16 15:06:00,27.62,1663333559.16
2022-09-16 15:06:05,27.62,1663333564.16
2022-09-16 15:06:10,27.62,1663333569.16
2022-09-16 15:06:15,22.92,1663333574.16
2022-09-16 15:06:20,22.92,1663333579.16
2022-09-16 15:06:25,22.92,1663333584.16
2022-09-16 15:06:30,22.92,1663333589.16
2022-09-16 15:06:35,22.52,1663333594.16
2022-09-16 15:06:40,22.52,1663333599.16
2022-09-16 15:06:45,22.52,1663333604.16
2022-09-16 15:06:50,22.52,1663333609.16
2022-09-16 15:06:55,26.09,1663333614.16
2022-09-16 15:07:00,26.09,1663333619.16
2022-09-16 15:07:05,26.09,1663333624.16
2022-09-16 15:07:10,26.09,1663333629.16
2022-09-16 15:07:15,19.72,1663333634.16
2022-09-16 15:07:20,19.72,1663333639.16
2022-09-16 15:07:25,19.85,1663333644.16
2022-09-16 15:07:30,19.85,1663333649.16
2022-09-16 15:07:35,24.42,1663333654.16
2022-09-16 15:07:40,24.42,1663333659.16
2022-09-16 15:07:45,24.42,1663333664.16
2022-09-16 15:07:50,24.42,1663333669.16
2022-09-16 15:07:55,20.68,1663333674.16
2022-09-16 15:08:00,20.68,1663333679.16
2022-09-16 15:08:05,20.68,1663333684.16
2022-09-16 15:08:10,20.68,1663333689.16
2022-09-16 15:08:15,20.49,1663333694.16
2022-09-16 15:08:20,20.49,1663333699.16
2022-09-16 15:08:25,20.49,1663333704.16
2022-09-16 15:08:30,20.49,1663333709.16
2022-09-16 15:08:35,22.15,1663333714.16
2022-09-16 15:08:40,22.15,1663333719.16
2022-09-16 15:08:45,22.15,1663333724.16
2022-09-16 15:08:50,22.15,1663333729.16
2022-09-16 15:08:55,23.52,1663333734.16
2022-09-16 15:09:00,23.52,1663333739.16
2022-09-16 15:09:05,23.52,1663333744.16
2022-09-16 15:09:10,23.52,1663333749.16
2022-09-16 15:09:15,21.24,1663333754.16
2022-09-16 15:09:20,21.24,1663333759.16
2022-09-16 15:09:25,21.24,1663333764.16
2022-09-16 15:09:30,21.24,1663333769.16
2022-09-16 15:09:35,19.16,1663333774.16
2022-09-16 15:09:40,19.16,1663333779.16
2022-09-16 15:09:45,19.16,1663333784.16
2022-09-16 15:09:50,19.16,1663333789.16
2022-09-16 15:09:55,20.42,1663333794.16
2022-09-16 15:10:00,20.42,1663333799.16
2022-09-16 15:10:05,20.42,1663333804.16
2022-09-16 15:10:10,20.42,1663333809.16
2022-09-16 15:10:15,6.35,1663333814.16
2022-09-16 15:10:20,6.35,1663333819.16
2022-09-16 15:10:25,6.35,1663333824.16
2022-09-16 15:10:30,6.35,1663333829.16
2022-09-16 15:10:35,6.09,1663333834.16
2022-09-16 15:10:40,6.09,1663333839.16
2022-09-16 15:10:45,6.09,1663333844.16
2022-09-16 15:10:50,6.09,1663333849.16
2022-09-16 15:10:55,5.88,1663333854.16
2022-09-16 15:11:00,5.88,1663333859.16
2022-09-16 15:11:05,5.88,1663333864.16
2022-09-16 15:11:10,5.88,1663333869.16
2022-09-16 15:11:15,5.83,1663333874.16
2022-09-16 15:11:20,5.83,1663333879.16
2022-09-16 15:11:25,5.83,1663333884.16
2022-09-16 15:11:30,5.83,1663333889.16
2022-09-16 15:11:35,22.13,1663333894.16
2022-09-16 15:11:40,22.13,1663333899.16
2022-09-16 15:11:45,22.13,1663333904.16
2022-09-16 15:11:50,22.13,1663333909.16
2022-09-16 15:11:55,28.07,1663333914.16
2022-09-16 15:12:00,28.07,1663333919.16
2022-09-16 15:12:05,28.07,1663333924.16
2022-09-16 15:12:10,28.07,1663333929.16
2022-09-16 15:12:15,26.51,1663333934.16
2022-09-16 15:12:20,26.51,1663333939.16
2022-09-16 15:12:25,26.51,1663333944.16
2022-09-16 15:12:30,26.51,1663333949.16
2022-09-16 15:12:35,25.83,1663333954.16
2022-09-16 15:12:40,25.83,1663333959.16
