date,infrastructure0-OPTIMIZED,infrastructure0-ORIGINAL,infrastructure1-OPTIMIZED,infrastructure1-ORIGINAL,infrastructure2-OPTIMIZED,infrastructure2-ORIGINAL,infrastructure3-OPTIMIZED,infrastructure3-ORIGINAL,infrastructure4-OPTIMIZED,infrastructure4-ORIGINAL,infrastructure5-OPTIMIZED,infrastructure5-ORIGINAL,infrastructure6-OPTIMIZED,infrastructure6-ORIGINAL,infrastructure7-OPTIMIZED,infrastructure7-ORIGINAL,infrastructure8-OPTIMIZED,infrastructure8-ORIGINAL,infrastructure9-OPTIMIZED,infrastructure9-ORIGINAL
2021-12-14 15:00:00,825.8399999999995,840.0999999999997,875.5799999999992,892.2999999999995,935.9399999999991,959.4999999999995,997.81,1044.0999999999995,1054.5999999999997,1136.4999999999993,1105.2,1207.4999999999998,1147.0999999999997,1251.6999999999991,1232.4000000000003,1261.0999999999992,1252.6999999999996,1252.6999999999996,1273.4999999999993,1273.4999999999993
2021-12-14 15:01:00,825.8399999999995,840.0999999999997,875.5799999999992,892.2999999999995,935.9399999999991,959.4999999999995,997.81,1044.0999999999995,1054.5999999999997,1136.4999999999993,1105.2,1207.4999999999998,1147.0999999999997,1251.6999999999991,1232.4000000000003,1261.0999999999992,1252.6999999999996,1252.6999999999996,1273.4999999999993,1273.4999999999993
2021-12-14 15:02:00,825.8399999999995,840.0999999999997,875.5799999999992,892.2999999999995,935.9399999999991,959.4999999999995,997.81,1044.0999999999995,1054.5999999999997,1136.4999999999993,1105.2,1207.4999999999998,1147.0999999999997,1251.6999999999991,1232.4000000000003,1261.0999999999992,1252.6999999999996,1252.6999999999996,1273.4999999999993,1273.4999999999993
2021-12-14 15:03:00,825.8399999999995,840.0999999999997,875.5799999999992,892.2999999999995,935.9399999999991,959.4999999999995,997.81,1044.0999999999995,1054.5999999999997,1136.4999999999993,1105.2,1207.4999999999998,1147.0999999999997,1251.6999999999991,1232.4000000000003,1261.0999999999992,1252.6999999999996,1252.6999999999996,1273.4999999999993,1273.4999999999993
2021-12-14 15:04:00,825.8399999999995,840.0999999999997,875.5799999999992,892.2999999999995,935.9399999999991,959.4999999999995,997.81,1044.0999999999995,1054.5999999999997,1136.4999999999993,1105.2,1207.4999999999998,1147.0999999999997,1251.6999999999991,1232.4000000000003,1261.0999999999992,1252.6999999999996,1252.6999999999996,1273.4999999999993,1273.4999999999993
2021-12-14 15:05:00,825.8399999999995,840.0999999999997,875.5799999999992,892.2999999999995,935.9399999999991,959.4999999999995,997.81,1044.0999999999995,1054.5999999999997,1136.4999999999993,1105.2,1207.4999999999998,1147.0999999999997,1251.6999999999991,1232.4000000000003,1261.0999999999992,1252.6999999999996,1252.6999999999996,1273.4999999999993,1273.4999999999993
2021-12-14 15:06:00,825.8399999999995,840.0999999999997,875.5799999999992,892.2999999999995,935.9399999999991,959.4999999999995,997.81,1044.0999999999995,1054.5999999999997,1136.4999999999993,1105.2,1207.4999999999998,1147.0999999999997,1251.6999999999991,1232.4000000000003,1261.0999999999992,1252.6999999999996,1252.6999999999996,1273.4999999999993,1273.4999999999993
2021-12-14 15:07:00,825.8399999999995,840.0999999999997,875.5799999999992,892.2999999999995,935.9399999999991,959.4999999999995,997.81,1044.0999999999995,1054.5999999999997,1136.4999999999993,1105.2,1207.4999999999998,1147.0999999999997,1251.6999999999991,1232.4000000000003,1261.0999999999992,1252.6999999999996,1252.6999999999996,1273.4999999999993,1273.4999999999993
2021-12-14 15:08:00,825.8399999999995,840.0999999999997,875.5799999999992,892.2999999999995,935.9399999999991,959.4999999999995,997.81,1044.0999999999995,1054.5999999999997,1136.4999999999993,1105.2,1207.4999999999998,1147.0999999999997,1251.6999999999991,1232.4000000000003,1261.0999999999992,1252.6999999999996,1252.6999999999996,1273.4999999999993,1273.4999999999993
2021-12-14 15:09:00,825.8399999999995,840.0999999999997,875.5799999999992,892.2999999999995,935.9399999999991,959.4999999999995,997.81,1044.0999999999995,1054.5999999999997,1136.4999999999993,1105.2,1207.4999999999998,1147.0999999999997,1251.6999999999991,1232.4000000000003,1261.0999999999992,1252.6999999999996,1252.6999999999996,1273.4999999999993,1273.4999999999993
2021-12-14 15:10:00,825.8399999999995,840.0999999999997,875.5799999999992,892.2999999999995,935.9399999999991,959.4999999999995,997.81,1044.0999999999995,1054.5999999999997,1136.4999999999993,1105.2,1207.4999999999998,1147.0999999999997,1251.6999999999991,1232.4000000000003,1261.0999999999992,1252.6999999999996,1252.6999999999996,1273.4999999999993,1273.4999999999993
