BASIC,,,,,,,,,,,,,,,,,,,,
ORIGINAL,,,,,,,,,,,,,,,,,,,,
OPTIMIZED,1341.200,1396.860,1590.017,1665.407,1757.692,1889.080,1913.767,2001.831,2101.904,2224.807,2241.227,2338.923,2432.727,2545.589,2567.821,2787.244,2788.554,2903.180,2886.240,3025.425
ENHANCED,469.500,525.160,718.317,1011.632,1103.917,1235.305,1259.992,1565.981,1666.054,1788.957,1805.377,2120.998,2214.802,2327.664,2349.896,2787.244,2788.554,2903.180,2886.240,3025.425
