Server-Crownlabs-performance,Server-Crownlabs-consumption,Server-Crownlabs-consumption (correction),Server-Polycube-performance,Server-Polycube-consumption,Raspberry-performance,Raspberry-consumption,Desktop-performance,Desktop-consumption,Matebook-performance,Matebook-consumption,Laptop-Fulvio-performance,Laptop-Fulvio-consumption
49427.3092879991,532,482,37256.0693520075,470.75,12718.4246465634,78.67,57812.1373189877,548.9,57759.2637473169,196.5,40579.5426555633,199.46
49784.2069450429,531,481,37533.602033571,471.8,12922.6818227465,79.38,58200.4951852823,553,58790.6366385287,197.7,40787.8889027546,200.55
50231.0681196674,534,484,38746.8706468862,646.25,13175.4697654895,83.03,59960.30566989,584.4,59245.6982101154,197.4,42659.7403861017,230.711
50600.8305361683,536,486,39924.9012276341,650.55,13415.0156231685,83.64,nan,nan,59579.0239953285,197.5,43944.2693284545,226.84
51133.1352706097,535,485,41078.4255299906,655.1,13641.4733481881,84.34,nan,nan,59930.2575589965,197.8,44878.374937532,228.9675
51496.7591574906,539,489,42205.8819964411,657.6,13845.7305243713,85.05,nan,nan,60212.4322400641,199.6,45606.4533276593,228.158
51960.565110634,538,488,43302.7735441409,662.7,14098.5184671143,88.7,nan,nan,60384.7424235606,198,45934.9878761795,228.22
52505.9392109133,543,493,44371.3669659991,665.7,14338.0643247933,89.31,nan,nan,60657.8872508103,198.9,46189.7554089601,229.69
52823.8780802688,540,490,45412.6479368974,666.7,14564.5220498129,90.01,nan,nan,60694.8761012399,198.3,46406.3839273854,228.11
53259.2161399336,546,496,46427.6024311849,670.55,14768.779225996,90.72,nan,nan,60769.0699587904,200.4,46614.7301745767,229.2
53471.3006892095,539,489,47415.8537873545,675.225,15021.567168739,94.37,nan,nan,nan,nan,48486.5816579237,259.361
53725.7576547972,545,495,48376.0273744068,683.9,15261.113026418,94.98,nan,nan,nan,nan,49771.1106002766,255.49
54170.995603092,544,494,49319.9237942159,683.35,15487.5707514376,95.68,nan,nan,nan,nan,50705.2162093541,257.6175
54370.5277099412,547,497,50250.7104335668,687.8,15691.8279276208,96.39,nan,nan,nan,nan,51433.2945994814,256.808
54655.01482166,545,495,51164.5993171313,696.3,15944.6158703638,100.04,nan,nan,nan,nan,51761.8291480015,256.87
54896.0116928648,547,497,52038.7858625341,696.25,16184.1617280428,100.65,nan,nan,nan,nan,52016.5966807822,258.34
54967.9646483126,542,492,52395.784585685,697.1,16410.6194530624,101.35,nan,nan,nan,nan,52233.2251992075,256.76
55236.8744886106,545,495,52747.1632429901,698.325,16614.8766292455,102.06,nan,nan,nan,nan,52441.5714463988,257.85
